,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
345,Leningradskiy,RU,69.3833,178.4167,-26.07,92,62,7.85,broken clouds
346,Wajir,KE,1.7471,40.0573,81.5,55,80,12.84,broken clouds
347,Sur,OM,22.5667,59.5289,73.38,73,4,4.99,clear sky
348,Flin Flon,CA,54.7682,-101.865,-3.98,90,100,10.71,overcast clouds
349,Thabazimbi,ZA,-24.5917,27.4116,70.97,68,16,3.0,few clouds
350,Lagoa,PT,39.05,-27.9833,58.23,84,100,7.54,overcast clouds
351,Ponta Delgada,PT,37.7333,-25.6667,60.49,94,20,12.66,few clouds
352,Kaarina,FI,60.4072,22.369,32.77,91,0,8.05,clear sky
353,Northam,GB,51.0333,-4.2167,46.09,89,15,6.85,few clouds
354,Yaounde,CM,3.8667,11.5167,68.76,82,82,2.64,broken clouds
355,Rorvik,NO,64.8621,11.2373,44.71,100,75,34.52,moderate rain
356,Thayetmyo,MM,19.3167,95.1833,61.63,63,1,4.27,clear sky
357,Lakatoro,VU,-16.0999,167.4164,83.44,67,39,5.21,scattered clouds
358,Paoua,CF,7.2427,16.4406,66.79,26,34,4.52,scattered clouds
359,Muzhi,RU,65.3667,64.6667,6.12,97,100,3.0,overcast clouds
360,Kuytun,RU,54.3419,101.5036,3.29,100,92,0.63,overcast clouds
361,Tokamachi,JP,37.1333,138.7667,29.01,92,100,5.1,overcast clouds
362,Uglich,RU,57.5275,38.3317,7.95,97,63,6.2,broken clouds
363,Kimbe,PG,-5.5502,150.1429,78.33,90,96,1.23,moderate rain
364,Freeport,US,40.6576,-73.5832,36.25,45,0,10.0,clear sky
365,Pyatnitskoye,RU,50.4233,37.8273,20.59,96,98,4.7,snow
366,Muros,ES,42.7762,-9.0603,52.3,93,0,6.69,clear sky
367,Puerto Carreno,CO,6.189,-67.4859,93.02,31,11,14.14,few clouds
368,Clyde River,CA,70.4692,-68.5914,-7.37,84,100,24.16,overcast clouds
369,Kadoma,JP,34.7333,135.5833,39.18,73,29,1.52,scattered clouds
370,Chippewa Falls,US,44.9369,-91.3929,40.14,70,0,16.11,clear sky
371,Khorixas,NA,-20.3667,14.9667,67.71,70,100,9.08,overcast clouds
372,Oranjemund,NA,-28.55,16.4333,68.86,90,5,12.73,clear sky
373,La Tuque,CA,47.4334,-72.7824,-5.28,84,54,10.25,broken clouds
374,Dakar,SN,14.6937,-17.4441,74.28,71,7,14.23,clear sky
375,Hofn,IS,64.2539,-15.2082,31.73,55,2,11.83,clear sky
376,Isla Mujeres,MX,21.2311,-86.731,69.17,64,37,9.08,scattered clouds
377,Rwamagana,RW,-1.9487,30.4347,62.04,96,100,0.85,overcast clouds
378,Noumea,NC,-22.2763,166.4572,82.38,99,12,10.65,few clouds
379,Russell,US,32.3502,-85.1999,56.91,59,21,2.89,few clouds
380,Daru,PG,-9.0763,143.2092,76.32,91,100,6.98,overcast clouds
381,Nancha,CN,47.1333,129.2667,-12.06,99,37,2.3,scattered clouds
382,Capitan Bado,PY,-23.2667,-55.5333,90.16,28,87,6.15,overcast clouds
383,Lhokseumawe,ID,5.1801,97.1507,74.19,85,99,5.28,overcast clouds
384,Acapulco,MX,16.8634,-99.8901,81.84,64,39,6.64,scattered clouds
385,Kovdor,RU,67.5662,30.4758,24.06,94,100,10.25,overcast clouds
386,Abu Kamal,SY,34.4506,40.9171,40.71,23,0,13.53,clear sky
387,Tessalit,ML,20.1986,1.0114,59.02,19,0,12.84,clear sky
388,Tanda,IN,26.55,82.65,46.58,53,0,6.58,clear sky
389,Canete,CL,-37.8,-73.4,60.04,56,80,8.52,broken clouds
390,Khandyga,RU,62.6667,135.6,-46.59,100,63,1.52,broken clouds
391,Khani,GE,41.9563,42.9566,26.17,77,98,7.67,overcast clouds
392,Rawson,AR,-43.3002,-65.1023,65.28,39,15,19.28,few clouds
393,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.23,96,100,0.74,overcast clouds
394,Port Hardy,CA,50.6996,-127.4199,45.75,93,100,11.5,light intensity drizzle
395,Solaro,IT,44.8799,9.1732,45.61,87,0,0.92,clear sky
396,Thompson,CA,55.7435,-97.8558,-9.96,89,96,8.63,overcast clouds
397,Portland,US,45.5234,-122.6762,50.85,93,100,1.01,overcast clouds
398,Kiama,AU,-34.6833,150.8667,68.38,90,100,1.99,overcast clouds
399,Naze,JP,28.3667,129.4833,52.72,61,96,7.49,overcast clouds
400,Guadix,ES,37.2993,-3.1392,35.46,41,26,0.22,scattered clouds
401,Panaba,MX,21.2833,-88.2667,78.93,41,4,7.45,clear sky
402,General Jose Eduvigis Diaz,PY,-27.1667,-58.4167,91.44,29,100,9.44,overcast clouds
403,Campo Verde,BR,-20.4167,-54.0667,67.21,87,92,10.67,overcast clouds
404,Entebbe,UG,0.0644,32.4469,66.52,88,20,5.75,few clouds
405,Panguna,PG,-6.3164,155.4848,77.47,74,100,1.88,overcast clouds
406,Mugumu,TZ,-1.85,34.7,58.32,96,100,2.77,overcast clouds
407,Verkhniy Lomov,RU,53.4678,43.5511,23.74,97,100,5.7,light snow
408,Port Lincoln,AU,-34.7333,135.8667,62.98,68,100,19.84,overcast clouds
409,Mwinilunga,ZM,-11.7358,24.4293,59.88,98,100,3.8,overcast clouds
410,Cidreira,BR,-30.1811,-50.2056,77.99,80,100,5.84,overcast clouds
411,Aykhal,RU,66.0,111.5,-6.59,100,100,10.87,overcast clouds
412,Provideniya,RU,64.3833,-173.3,-4.65,71,0,2.24,clear sky
413,General Roca,AR,-39.0333,-67.5833,59.63,74,100,16.64,overcast clouds
414,Tolaga Bay,NZ,-38.3667,178.3,78.35,35,0,4.41,clear sky
415,Solnechnyy,RU,50.7214,136.6319,-6.81,96,67,3.53,broken clouds
416,Healdsburg,US,38.6105,-122.8692,64.9,87,75,4.61,broken clouds
417,Mentor,US,41.6662,-81.3395,31.75,66,75,1.01,broken clouds
418,Kytmanovo,RU,53.4593,85.4479,0.37,100,98,0.67,overcast clouds
419,Tungor,RU,53.3808,142.9564,-3.26,95,99,21.07,overcast clouds
420,Makokou,GA,0.5738,12.8642,69.46,96,59,2.06,moderate rain
421,Axim,GH,4.8699,-2.2405,79.72,79,9,5.57,clear sky
422,Chok Chai,TH,14.7284,102.1652,63.95,75,92,4.14,overcast clouds
423,Makat,KZ,47.6469,53.3463,22.15,88,95,12.03,overcast clouds
424,Aktau,KZ,43.65,51.2,32.58,83,92,21.99,overcast clouds
425,Mareeba,AU,-17.0,145.4333,79.52,83,100,2.37,overcast clouds
426,Somerville,US,42.3876,-71.0995,29.37,43,20,3.0,few clouds
427,Chingola,ZM,-12.529,27.8838,60.96,99,100,3.85,moderate rain
428,Ambilobe,MG,-13.2,49.05,76.46,91,100,3.4,overcast clouds
429,Corrente,BR,-3.7367,-43.3394,75.69,88,92,3.76,overcast clouds
430,Goderich,CA,43.7501,-81.7165,29.91,84,100,16.46,overcast clouds
431,Vawkavysk,BY,53.1561,24.4513,28.42,93,58,7.61,broken clouds
432,Carutapera,BR,-1.195,-46.02,75.88,94,88,5.57,heavy intensity rain
433,Novyy Urengoy,RU,66.0833,76.6333,-10.53,100,85,5.66,overcast clouds
434,Zaterechnyy,RU,44.7931,45.2097,29.91,68,81,8.7,broken clouds
435,Rio Grande,BR,-32.035,-52.0986,78.94,86,100,8.95,overcast clouds
436,Mizdah,LY,31.4451,12.9801,45.52,77,0,5.73,clear sky
437,Mae Sai,TH,20.4335,99.8762,62.44,99,74,0.94,broken clouds
438,Kodinsk,RU,58.6881,99.1844,-4.68,100,82,3.49,broken clouds
439,Esperance,AU,-33.8667,121.9,61.18,78,0,13.18,clear sky
440,Morant Bay,JM,17.8815,-76.4093,75.65,77,29,11.39,scattered clouds
441,Santa Rosalia,MX,27.3167,-112.2833,73.31,48,35,3.33,scattered clouds
442,Woodward,US,36.4337,-99.3904,63.63,25,0,0.0,clear sky
443,Iskateley,RU,67.6803,53.1512,-2.06,98,100,0.92,overcast clouds
444,Estelle,US,29.8458,-90.1067,66.0,58,0,3.0,clear sky
445,Luebo,CD,-5.35,21.4167,69.17,97,100,1.01,overcast clouds
446,Port Macquarie,AU,-31.4333,152.9167,74.89,94,75,8.05,broken clouds
447,Curup,ID,-3.4667,102.5333,66.74,97,100,2.48,overcast clouds
448,Cayenne,GF,4.9333,-52.3333,79.09,87,75,1.99,broken clouds
449,Inhambane,MZ,-23.865,35.3833,74.95,78,2,6.85,clear sky
450,Menongue,AO,-14.6585,17.691,63.82,95,100,2.17,light rain
451,Saint-Francois,FR,46.4154,3.9054,31.68,89,5,2.3,clear sky
452,Machiques,VE,10.0644,-72.545,88.2,44,64,13.91,broken clouds
453,Mehamn,NO,71.0357,27.8492,35.55,87,75,26.46,snow
454,Gilgit,PK,35.9221,74.3087,32.92,77,100,1.19,overcast clouds
455,Majene,ID,-3.5403,118.9707,77.88,81,100,5.44,overcast clouds
456,Anloga,GH,5.7947,0.8973,81.73,73,78,8.14,broken clouds
457,Jeremie,HT,18.65,-74.1167,77.18,81,27,10.71,scattered clouds
458,Berlevag,NO,70.8578,29.0864,35.6,86,75,29.93,broken clouds
459,Bagdarin,RU,54.4333,113.6,-20.25,98,92,1.54,overcast clouds
460,Nioro,GM,13.35,-15.75,84.09,15,0,7.85,clear sky
461,Roebourne,AU,-20.7833,117.1333,80.55,68,32,5.17,scattered clouds
462,Dabat,ET,12.9842,37.765,50.95,71,8,2.62,clear sky
463,Victor Harbor,AU,-35.5667,138.6167,64.0,69,27,1.01,scattered clouds
464,Barabai,ID,-2.5833,115.3833,73.54,97,98,1.66,overcast clouds
465,Latung,PH,5.5,120.8833,80.62,81,100,9.64,overcast clouds
466,Mgandu,TZ,-5.95,34.1333,60.96,98,99,6.62,moderate rain
467,Bowen,AU,-20.0167,148.2333,82.78,63,100,11.74,overcast clouds
468,Przhevalskoye,RU,55.5093,31.8482,9.99,99,89,4.65,overcast clouds
469,Shelburne,CA,44.0787,-80.2041,19.24,75,95,4.9,overcast clouds
470,Lexington,US,37.9887,-84.4777,37.54,71,0,1.99,clear sky
471,Krasnorechenskiy,RU,44.6265,135.3532,-8.01,97,92,5.06,overcast clouds
472,Jansath,IN,29.3333,77.85,45.9,66,2,5.5,clear sky
473,Manta,EC,-0.95,-80.7333,78.85,70,84,12.48,broken clouds
474,Salalah,OM,17.0151,54.0924,71.69,68,20,5.75,few clouds
475,Buala,SB,-8.145,159.5921,83.93,72,100,2.42,overcast clouds
476,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.27,87,1,14.56,clear sky
477,Vaitape,PF,-16.5167,-151.75,75.16,89,100,23.71,moderate rain
478,Pangai,TO,-19.8,-174.35,81.88,84,14,17.54,light rain
479,Tilichiki,RU,60.4667,166.1,-20.45,89,5,9.35,clear sky
480,Padang,ID,-0.9492,100.3543,75.27,88,100,5.46,overcast clouds
481,Telgte,DE,51.9833,7.7833,42.98,89,75,1.14,broken clouds
482,Port Lavaca,US,28.615,-96.6261,75.31,61,40,14.97,scattered clouds
483,Gari,RU,59.4307,62.3497,21.33,89,97,9.89,overcast clouds
484,Mount Isa,AU,-20.7333,139.5,74.97,100,40,5.75,light rain
485,Nueve De Julio,AR,-35.4444,-60.8831,67.71,92,99,12.33,overcast clouds
486,Abay,KZ,49.6311,72.8539,5.38,99,40,5.93,scattered clouds
487,Kharitonovo,RU,61.4009,47.4978,1.85,100,96,3.38,light snow
488,Porto Belo,BR,-27.1578,-48.5531,84.16,89,7,6.44,clear sky
489,Bima,ID,-8.4667,118.7167,75.78,92,100,4.32,heavy intensity rain
490,Oistins,BB,13.0667,-59.5333,77.61,76,14,16.98,few clouds
491,Buynaksk,RU,42.819,47.1192,24.82,49,8,6.13,clear sky
492,Saint-Leu,RE,-21.15,55.2833,79.66,82,76,7.76,broken clouds
493,Illapel,CL,-31.6308,-71.1653,72.66,40,0,7.31,clear sky
494,Hami,CN,42.8,93.45,24.64,42,5,6.91,clear sky
495,Luanda,AO,-8.8368,13.2343,74.46,76,48,8.52,scattered clouds
496,Atambua,ID,-9.1061,124.8925,72.63,90,100,0.76,moderate rain
497,Cockburn Town,TC,21.4612,-71.1419,76.73,73,40,19.57,scattered clouds
498,Faya,SA,18.3851,42.4509,55.92,87,25,4.45,scattered clouds
499,Manzhouli,CN,49.6,117.4333,-16.87,96,4,3.47,clear sky
500,Kokstad,ZA,-30.5472,29.4241,61.97,97,9,6.08,moderate rain
501,Jupiter,US,26.9342,-80.0942,66.22,56,0,5.99,clear sky
502,Jiwani,PK,25.05,61.7417,71.01,75,5,2.39,clear sky
503,Conde,BR,-7.2597,-34.9075,78.26,83,20,8.05,few clouds
504,Khovu-Aksy,RU,51.1333,93.6,4.89,95,100,2.53,overcast clouds
505,Campbellton,CA,48.0075,-66.6727,5.61,81,100,19.84,overcast clouds
506,Nevelsk,RU,46.6733,141.8633,10.83,78,66,17.98,broken clouds
507,Husavik,IS,66.0449,-17.3389,26.35,96,85,8.79,snow
508,Vicuna,CL,-30.0319,-70.7081,81.77,44,0,7.38,clear sky
509,Shingu,JP,33.7333,135.9833,38.91,80,4,6.2,clear sky
510,Keti Bandar,PK,24.1447,67.4497,69.96,54,0,9.17,clear sky
511,Cabedelo,BR,-6.9811,-34.8339,81.18,70,29,10.83,scattered clouds
512,Marzuq,YE,14.4,46.4667,62.8,47,0,5.97,clear sky
513,Sistranda,NO,63.7256,8.834,46.9,70,100,41.52,overcast clouds
514,Kargasok,RU,59.0556,80.8572,9.73,92,96,11.41,overcast clouds
515,Hobyo,SO,5.3505,48.5268,77.02,81,34,9.51,scattered clouds
516,Goure,NE,13.9835,10.2704,56.91,27,4,10.42,clear sky
517,Twentynine Palms,US,34.1356,-116.0542,68.14,37,31,3.0,scattered clouds
518,Saint-Georges,GD,12.0564,-61.7485,76.68,88,75,28.77,broken clouds
519,Minsk,BY,53.9,27.5667,15.55,91,41,6.98,scattered clouds
520,Lulea,SE,65.5842,22.1547,41.07,75,0,4.61,clear sky
521,Whitehorse,CA,60.7161,-135.0538,8.82,87,100,15.99,overcast clouds
522,Pedernales,DO,18.0384,-71.744,79.36,69,10,5.55,clear sky
523,Port-Gentil,GA,-0.7193,8.7815,79.12,83,98,6.33,overcast clouds
524,North Kessock,GB,57.5013,-4.2443,48.38,85,75,17.27,broken clouds
525,Jerantut,MY,3.936,102.3626,71.51,92,100,1.88,overcast clouds
526,Kuminskiy,RU,58.6667,66.5667,17.4,93,99,9.13,overcast clouds
527,Najran,SA,17.4924,44.1277,66.18,47,1,3.18,clear sky
528,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.59,50,75,11.18,broken clouds
529,Vestmannaeyjar,IS,63.4427,-20.2734,38.75,60,100,31.27,overcast clouds
530,Hammerfest,NO,70.6634,23.6821,36.05,93,75,11.5,light rain
531,Bandarbeyla,SO,9.4942,50.8122,76.23,78,47,10.04,scattered clouds
532,Zhoucheng,CN,35.9122,116.3117,32.4,86,2,4.85,clear sky
533,Gonaives,HT,19.45,-72.6833,78.78,65,80,6.35,broken clouds
534,Tecoanapa,MX,16.5167,-98.75,81.07,65,96,7.67,overcast clouds
535,Hearst,CA,49.6835,-83.6665,1.54,89,100,5.39,overcast clouds
536,Abalak,RU,58.1286,68.5944,13.95,93,99,9.28,overcast clouds
537,Namatanai,PG,-3.6667,152.4333,82.6,76,84,10.0,light rain
538,Leshukonskoye,RU,64.8989,45.7622,0.3,99,99,3.15,overcast clouds
539,Piacabucu,BR,-10.4056,-36.4344,78.91,73,0,6.24,clear sky
540,Camacha,PT,33.0833,-16.3333,63.54,72,20,16.11,few clouds
541,Cururupu,BR,-1.8283,-44.8683,76.44,93,95,2.8,overcast clouds
542,Sri Aman,MY,1.2376,111.4621,71.56,100,90,0.96,light rain
543,Tabuk,PH,17.4189,121.4443,64.35,88,88,1.95,overcast clouds
544,Oranjestad,AW,12.524,-70.027,80.55,78,40,16.11,scattered clouds
545,Sao Tome,ST,0.3365,6.7273,79.25,83,100,2.98,overcast clouds
546,Marataizes,BR,-21.0433,-40.8244,77.09,87,0,17.05,clear sky
547,Chumphon,TH,10.3333,98.8333,65.95,98,98,2.08,overcast clouds
548,Puerto Del Rosario,ES,28.5004,-13.8627,65.88,63,6,6.91,clear sky
549,San Policarpo,PH,12.1791,125.5072,77.95,86,100,15.7,moderate rain
550,Dongsheng,CN,39.8161,109.9776,17.76,52,8,0.96,clear sky
551,San Juan Bautista,PE,-14.0108,-75.7358,72.23,48,53,13.87,broken clouds
552,San Vicente De Canete,PE,-13.0751,-76.3835,74.93,76,45,5.28,scattered clouds
553,Geraldton,AU,-28.7667,114.6,86.41,23,1,12.66,clear sky
554,Vyazma,RU,55.2104,34.2951,5.04,98,68,7.2,broken clouds
555,Antsla,EE,57.8256,26.5406,31.75,85,100,9.75,overcast clouds
556,Beira,MZ,-19.8436,34.8389,78.85,73,0,8.19,clear sky
557,Necochea,AR,-38.5473,-58.7368,64.04,80,100,16.84,light rain
558,Taunsa,PK,30.7048,70.6505,61.25,32,98,1.97,light rain
559,Tomatlan,MX,19.9333,-105.25,82.09,57,100,7.16,overcast clouds
560,Orotukan,RU,62.2667,151.7,-31.63,93,10,3.09,clear sky
561,Beringovskiy,RU,63.05,179.3167,-18.76,90,9,10.25,clear sky
562,Thinadhoo,MV,0.5333,72.9333,82.49,77,100,11.77,overcast clouds
563,Kurilsk,RU,45.2333,147.8833,29.03,66,92,24.76,overcast clouds
564,Maldonado,UY,-34.6667,-54.9167,69.22,95,100,13.73,overcast clouds
565,Domoni,KM,-12.2569,44.5319,81.25,82,99,12.01,light rain
566,Amnat Charoen,TH,15.9167,104.75,65.32,85,65,14.2,broken clouds
567,Ulladulla,AU,-35.35,150.4667,66.09,81,100,11.36,overcast clouds
568,Nizhnyaya Omka,RU,55.4338,74.9426,6.53,95,64,8.7,broken clouds
569,Marawi,PH,7.9986,124.2928,65.64,95,91,1.23,overcast clouds
570,Edd,ER,13.9297,41.6925,76.42,86,63,13.73,broken clouds
571,Keita,NE,14.7551,5.7749,60.55,18,0,12.57,clear sky
572,Nome,US,64.5011,-165.4064,-19.84,69,0,0.0,clear sky
573,Santa Isabel,BR,-23.3156,-46.2214,78.58,85,82,2.91,broken clouds
574,Dong Hoi,VN,17.4833,106.6,62.92,87,96,10.76,overcast clouds
575,Mallaig,CA,54.2169,-111.3685,-9.98,92,76,7.83,broken clouds
576,Mariveles,PH,14.4833,120.4833,68.59,82,98,9.37,overcast clouds
577,Pitogo,PH,13.7847,122.0881,74.35,89,88,9.13,overcast clouds
578,Zephyrhills,US,28.2336,-82.1812,64.58,32,0,0.0,clear sky
579,Ambah,IN,26.7075,78.2261,45.72,54,0,3.2,clear sky
580,Harriston,CA,43.9001,-80.883,20.5,95,100,8.03,overcast clouds
581,Aksu,CN,41.1231,80.2644,23.76,46,24,0.94,few clouds
582,Ishigaki,JP,24.3448,124.1572,66.27,82,99,27.85,overcast clouds
583,Seydi,TM,39.4816,62.9137,36.32,87,100,20.69,overcast clouds
584,Tete,MZ,-16.1564,33.5867,74.37,80,52,3.2,broken clouds
585,Lisala,CD,2.15,21.5167,70.75,72,74,1.16,broken clouds
586,Kotovo,RU,50.3211,44.8012,30.61,97,100,14.74,light snow
587,Soro,IN,21.2881,86.6858,60.15,47,3,4.05,clear sky
588,Srandakan,ID,-7.9386,110.2506,75.27,89,99,5.48,overcast clouds
589,Maceio,BR,-9.6658,-35.7353,80.04,78,20,6.91,few clouds
590,Miramar,US,25.9873,-80.2323,68.02,45,0,9.22,clear sky
591,Antequera,ES,37.0194,-4.5612,45.95,86,89,4.5,overcast clouds
592,Beloha,MG,-25.1667,45.05,69.15,76,1,9.15,clear sky
593,Lata,PT,40.1629,-8.3327,50.81,70,4,3.22,clear sky
594,Tucdao,PH,11.7011,124.4719,75.94,91,99,10.54,overcast clouds
595,Dagana,MR,16.5165,-15.5068,80.78,13,7,9.69,clear sky
596,Tongren,CN,27.7172,109.1853,43.77,93,34,1.72,scattered clouds
597,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.42,95,100,3.27,overcast clouds
598,Xacmaz,AZ,41.4635,48.806,36.5,56,5,4.36,clear sky
599,The Valley,AI,18.217,-63.0578,78.94,73,20,11.5,few clouds
600,Satis,RU,54.9229,43.2298,19.67,95,100,9.28,snow
601,Kendari,ID,-3.945,122.4989,74.95,93,99,3.2,overcast clouds
602,Lake Havasu City,US,34.4839,-114.3224,68.0,29,100,3.0,overcast clouds
603,Alofi,NU,-19.0595,-169.9187,84.09,79,75,20.71,light intensity drizzle
604,Kedgwick,CA,47.6446,-67.3434,-0.31,86,100,15.79,overcast clouds
605,Laramie,US,41.3114,-105.5911,47.35,35,0,3.44,clear sky
606,Raudeberg,NO,61.9875,5.1352,46.18,86,100,18.99,light rain
607,Kushiro,JP,42.975,144.3747,23.95,80,75,8.05,broken clouds
608,Wilmington,US,34.2257,-77.9447,49.91,62,0,4.14,clear sky
609,Reforma,MX,18.1,-91.0167,79.63,46,0,0.63,clear sky
610,Novoagansk,RU,61.9449,76.6625,15.66,94,100,13.04,light snow
611,Ust-Nera,RU,64.5667,143.2,-33.12,92,84,3.49,broken clouds
612,Ankara,TR,39.9199,32.8543,22.39,65,20,2.3,few clouds
613,Petrivka,UA,46.9695,30.9591,28.85,67,61,19.42,broken clouds
614,Half Moon Bay,US,37.4636,-122.4286,64.72,78,0,1.99,clear sky
615,Laguna,US,38.421,-121.4238,64.26,61,0,1.01,clear sky
616,Preeceville,CA,51.95,-102.6677,-2.61,88,100,15.26,overcast clouds
617,Ornskoldsvik,SE,63.2909,18.7153,40.82,93,40,8.05,scattered clouds
618,Bansi,IN,27.1833,82.9333,47.37,66,2,6.46,clear sky
619,Dawlatabad,AF,36.4141,64.9053,47.3,78,89,8.46,overcast clouds
620,Wysokie Mazowieckie,PL,52.9166,22.5171,29.37,93,61,8.05,broken clouds
621,Upington,ZA,-28.4478,21.2561,80.94,32,90,16.11,overcast clouds
622,Virginia Beach,US,36.8529,-75.978,46.02,47,0,4.61,clear sky
623,Aksay,RU,47.26,39.87,29.7,79,99,7.0,overcast clouds
624,College,US,64.8569,-147.8028,6.28,80,75,0.0,broken clouds
625,Guarapari,BR,-20.6667,-40.4975,80.49,85,1,13.29,clear sky
626,Lavrentiya,RU,65.5833,-171.0,-16.31,95,36,4.83,scattered clouds
627,Bacolod,PH,10.6667,122.95,75.63,89,100,12.68,overcast clouds
628,Tarancon,ES,40.0085,-3.0073,40.8,36,57,2.89,broken clouds
629,Mananjary,MG,-21.2167,48.3333,75.45,88,100,2.66,overcast clouds
630,Waingapu,ID,-9.6567,120.2641,76.33,89,100,5.88,light rain
631,Maarianhamina,AX,60.0973,19.9348,35.46,80,0,4.61,clear sky
632,Hemnesberget,NO,66.2333,13.6333,46.92,94,100,18.92,moderate rain
633,San Miguel,SV,13.4833,-88.1833,93.83,23,2,3.87,clear sky
634,Zuwarah,LY,32.9312,12.082,54.39,66,0,5.73,clear sky
635,Pedro Betancourt,CU,22.7272,-81.29,72.14,56,62,8.34,broken clouds
636,Quesnel,CA,52.9999,-122.5029,15.71,87,98,3.6,overcast clouds
637,Sakakah,SA,29.9697,40.2064,41.07,35,7,6.89,clear sky
638,Eyl,SO,7.9803,49.8164,75.52,83,31,11.16,scattered clouds
639,Baykit,RU,61.67,96.37,5.31,95,100,4.92,overcast clouds
640,Quatre Cocos,MU,-20.2078,57.7625,81.09,83,58,8.59,broken clouds
641,Almonte,ES,37.2647,-6.5167,49.44,63,51,4.18,broken clouds
642,Oksfjord,NO,70.2396,22.3479,37.47,97,100,10.0,light snow
643,Kruisfontein,ZA,-34.0033,24.7314,66.88,83,100,17.36,overcast clouds
644,Lisakovsk,KZ,52.5369,62.4936,4.15,93,51,9.17,broken clouds
645,Puerto Quijarro,BO,-17.7833,-57.7667,89.78,46,61,5.41,broken clouds
646,Dhanbad,IN,23.8,86.45,54.57,32,66,6.13,broken clouds
647,Walvis Bay,NA,-22.9575,14.5053,70.09,81,60,8.88,broken clouds
648,Fairbanks,US,64.8378,-147.7164,8.82,83,100,0.72,overcast clouds
649,Kavaratti,IN,10.5669,72.642,80.78,73,82,8.88,broken clouds
650,Harper,LR,4.375,-7.7169,79.11,82,19,7.2,few clouds
651,Kulhudhuffushi,MV,6.6221,73.07,80.85,71,99,5.44,overcast clouds
652,Mkushi,ZM,-13.6202,29.3939,63.79,99,100,4.14,moderate rain
653,Selfoss,IS,63.9331,-20.9971,35.04,62,87,22.88,overcast clouds
654,Macapa,BR,0.0389,-51.0664,82.38,78,75,9.22,broken clouds
655,Kyabe,TD,9.4515,18.9449,72.43,20,2,7.4,clear sky
656,Gambela,ET,8.25,34.5833,76.59,33,96,2.06,overcast clouds
657,Usak,TR,38.5,29.4167,19.56,87,3,5.39,clear sky
658,Assare,BR,-6.8744,-39.875,78.6,47,50,4.43,scattered clouds
659,Svetlyy,RU,54.675,20.1347,35.96,78,76,14.45,broken clouds
660,Roald,NO,62.5833,6.1333,48.34,66,40,25.32,scattered clouds
661,San Cristobal,VE,7.7669,-72.225,76.5,60,92,1.9,overcast clouds
662,Mawlaik,MM,23.6333,94.4167,54.46,73,69,0.76,broken clouds
663,Mandal,IN,25.45,74.5667,53.73,30,0,2.04,clear sky
664,Zima,RU,53.9202,102.0442,3.04,100,90,2.42,overcast clouds
665,Yumen,CN,40.2833,97.2,21.45,37,0,5.82,clear sky
666,Zhuhai,CN,22.2769,113.5678,60.06,77,20,12.66,few clouds
667,Krasnaya Gora,RU,52.9995,31.6023,15.19,91,56,11.86,broken clouds
668,Tigil,RU,57.8,158.6667,-6.39,90,55,4.27,broken clouds
669,Guangyuan,CN,32.442,105.823,40.95,86,2,2.15,clear sky
670,Petit Goave,HT,18.4314,-72.8669,82.58,74,31,6.76,scattered clouds
671,Vostok,RU,46.4856,135.8833,-15.83,99,100,3.67,overcast clouds
672,Shibetsu,JP,43.659,145.132,27.27,92,98,9.08,light snow
673,Dubuque,US,42.4833,-90.8668,38.62,70,0,17.27,clear sky
674,Yenagoa,NG,4.9247,6.2642,76.77,86,100,4.05,overcast clouds
675,Abu Samrah,SY,35.3029,37.1841,45.32,73,77,20.36,broken clouds
676,Nigran,ES,42.1415,-8.8066,51.04,88,0,1.14,fog
677,Lompoc,US,34.6391,-120.4579,69.69,79,0,13.8,clear sky
678,Kokopo,PG,-4.352,152.2633,80.37,78,69,4.27,broken clouds
679,Yebaishou,CN,41.3975,119.6408,6.87,83,10,6.44,clear sky
680,Vryheid,ZA,-27.7695,30.7917,58.68,95,0,4.52,clear sky
681,Taltal,CL,-25.4,-70.4833,69.66,74,22,8.21,few clouds
682,Pontian Kecil,MY,1.4801,103.3899,78.93,87,97,6.38,overcast clouds
683,Acarau,BR,-2.8856,-40.12,81.0,77,15,16.73,few clouds
684,Supe,PE,-10.8,-77.7333,74.5,75,85,10.13,overcast clouds
685,Nogliki,RU,51.8333,143.1667,3.7,93,100,15.77,light snow
686,Yar-Sale,RU,66.8333,70.8333,-5.37,100,99,3.02,overcast clouds
687,Burla,IN,21.5,83.8667,59.0,59,0,2.17,clear sky
688,Ypane,PY,-25.45,-57.5333,100.35,15,100,4.65,overcast clouds
689,Damietta,EG,31.4165,31.8133,51.28,60,8,19.42,clear sky
690,Yerbogachen,RU,61.2767,108.0108,3.79,99,100,4.94,overcast clouds
691,Dhidhdhoo,MV,6.8833,73.1,80.76,71,82,4.54,broken clouds
692,Xining,CN,36.6167,101.7667,24.22,22,0,2.59,clear sky
693,Atar,MR,20.5169,-13.0499,71.49,12,28,10.36,scattered clouds
694,Qostanay,KZ,53.1667,63.5833,6.85,92,36,10.76,scattered clouds
695,Assiniboia,CA,49.6334,-105.9845,-5.6,92,100,15.77,overcast clouds
