City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
196,Bambanglipuro,ID,75.06,overcast clouds,-7.95,110.2833,Puri Brata
198,Bathsheba,BB,77.68,few clouds,13.2167,-59.5167,Atlantis Hotel
199,Gorontalo,ID,73.74,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
200,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
209,Ilhabela,BR,78.89,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
210,Ranong,TH,73.08,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
215,Samana,DO,78.76,clear sky,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
220,Hilo,US,80.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
221,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
227,Trairi,BR,79.93,clear sky,-3.2778,-39.2689,janelas do mar
228,Fortuna Foothills,US,73.49,few clouds,32.6578,-114.4119,Fortuna De Oro RV Park
229,Santiago,CL,82.29,scattered clouds,-33.4569,-70.6483,Che Lagarto Hostel Santiago
230,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
231,Tevaitoa,PF,76.33,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
233,Labuan,MY,75.36,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
236,Coihaique,CL,70.41,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
237,Kefamenanu,ID,72.34,light rain,-9.4467,124.4781,Sokowindo Losmen
238,Mahebourg,MU,81.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
243,Maraa,BR,76.98,broken clouds,-1.8333,-65.3667,
244,Pochutla,MX,82.81,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
245,Salinopolis,BR,78.24,very heavy rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
249,Mogadishu,SO,77.45,overcast clouds,2.0371,45.3438,Hotel Juba
253,Hithadhoo,MV,82.4,overcast clouds,-0.6,73.0833,Scoop Guest House
254,Ambanja,MG,76.51,overcast clouds,-13.6833,48.45,Hotel Salama and Fast Food
260,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
262,Kununurra,AU,73.38,overcast clouds,-15.7667,128.7333,Hotel Kununurra
264,Gizo,SB,83.41,light rain,-8.103,156.8419,Imagination Island
269,Bairiki,KI,80.6,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
276,Antofagasta,CL,72.21,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
278,Makakilo City,US,79.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
280,Bac Lieu,VN,74.88,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
281,Canutama,BR,78.21,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
284,San Vicente,AR,88.72,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
285,Barao De Melgaco,BR,88.32,broken clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
288,Ahipara,NZ,73.15,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
289,Boa Vista,BR,87.78,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
290,Kandrian,PG,80.83,light rain,-6.2167,149.55,Kandrian Station
294,Totolapan,MX,76.93,few clouds,18.5167,-96.1833,Tepaxtli
295,Mayumba,GA,76.64,broken clouds,-3.432,10.6554,LIKWALE LODGE
297,Dekar,BW,77.16,broken clouds,-21.5333,21.9333,
301,Chiredzi,ZW,71.55,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
308,Emerald,AU,80.35,overcast clouds,-23.5333,148.1667,The Irish Village
309,San Patricio,US,79.21,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
315,Pauini,BR,80.4,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
322,Dicabisagan,PH,70.18,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
323,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
325,Bani,DO,83.64,clear sky,18.2833,-70.3333,Hospedaje Henriquez
326,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
327,Richards Bay,ZA,73.27,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
329,Coruripe,BR,78.46,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
340,Alyangula,AU,84.36,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
341,Bengkulu,ID,74.98,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
344,Poum,NC,80.1,scattered clouds,-20.2333,164.0167,Gîte kajeon
346,Wajir,KE,81.5,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
347,Sur,OM,73.38,clear sky,22.5667,59.5289,Sur Plaza Hotel
349,Thabazimbi,ZA,70.97,few clouds,-24.5917,27.4116,Eagle's Rest
