City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Jamestown,US,2022-01-16 21:46:38,42.097,-79.2353,28.71,24,75,13.0
68,Sibolga,ID,2022-01-16 21:47:43,1.7427,98.7792,75.52,88,52,3.51
69,Tabas,IR,2022-01-16 21:47:44,33.5959,56.9244,52.41,72,12,8.39
70,Yellowknife,CA,2022-01-16 21:47:44,62.456,-114.3525,-12.44,76,75,4.61
71,Cabo San Lucas,MX,2022-01-16 21:47:45,22.8909,-109.9124,85.3,72,100,4.0
72,Kaitangata,NZ,2022-01-16 21:47:45,-46.2817,169.8464,68.65,57,98,2.21
73,Udachnyy,RU,2022-01-16 21:47:46,66.4167,112.4,-15.56,82,100,8.39
74,Antalaha,MG,2022-01-16 21:47:46,-14.9003,50.2788,75.29,88,98,4.99
75,Spornoye,RU,2022-01-16 21:47:47,50.8448,37.2913,26.62,98,55,7.09
76,Sitka,US,2022-01-16 21:45:31,57.0531,-135.33,37.29,93,100,4.61
77,Saskylakh,RU,2022-01-16 21:47:47,71.9167,114.0833,-24.77,94,8,12.64
78,Klaksvik,FO,2022-01-16 21:47:48,62.2266,-6.589,36.52,89,100,13.24
79,Tuktoyaktuk,CA,2022-01-16 21:47:48,69.4541,-133.0374,-34.6,67,0,10.36
80,Impfondo,CG,2022-01-16 21:47:49,1.6381,18.0667,74.59,76,99,3.58
81,West Bay,KY,2022-01-16 21:47:49,19.3667,-81.4167,83.07,72,20,1.99
82,Tessalit,ML,2022-01-16 21:47:49,20.1986,1.0114,60.15,20,47,10.98
83,Atuona,PF,2022-01-16 21:43:58,-9.8,-139.0333,78.67,78,86,21.14
84,Deputatskiy,RU,2022-01-16 21:47:51,69.3,139.9,-35.34,98,22,4.41
85,Markova,UA,2022-01-16 21:47:53,48.6758,24.4138,26.83,71,100,6.4
86,Mahibadhoo,MV,2022-01-16 21:47:53,3.7833,72.9667,81.52,78,99,13.31
